graph_size,run,augmentation_ratio,requested_loose_edges,original_objective,two_phase_objective,interleaved_objective,two_phase_improvement_vs_original,interleaved_improvement_vs_original,original_runtime_ms,two_phase_runtime_ms,interleaved_runtime_ms,two_phase_runtime_ratio_vs_original,interleaved_runtime_ratio_vs_original,original_move_operations,two_phase_move_operations,interleaved_move_operations,two_phase_replication_operations,interleaved_replication_operations,two_phase_final_replica_count,interleaved_final_replica_count,original_firstfit_objective,two_phase_firstfit_objective,interleaved_firstfit_objective,original_firstfit_improvement_vs_original,two_phase_firstfit_improvement_vs_original,interleaved_firstfit_improvement_vs_original,two_phase_firstfit_improvement_vs_original_firstfit,interleaved_firstfit_improvement_vs_original_firstfit,original_firstfit_runtime_ms,two_phase_firstfit_runtime_ms,interleaved_firstfit_runtime_ms,original_firstfit_runtime_ratio_vs_original,two_phase_firstfit_runtime_ratio_vs_original,interleaved_firstfit_runtime_ratio_vs_original,two_phase_firstfit_runtime_ratio_vs_original_firstfit,interleaved_firstfit_runtime_ratio_vs_original_firstfit,original_firstfit_move_operations,two_phase_firstfit_move_operations,interleaved_firstfit_move_operations,two_phase_firstfit_replication_operations,interleaved_firstfit_replication_operations,two_phase_firstfit_final_replica_count,interleaved_firstfit_final_replica_count
50,6,0.05,3,2746.22,2743.88,2722.33,0.000853338,0.0087011,195,444,600,2.27692,3.07692,19,19,20,1,1,1,1,2746.22,2743.88,2722.33,0,0.000853338,0.0087011,0.000853338,0.0087011,17,112,111,0.0871795,0.574359,0.569231,6.58824,6.52941,19,19,20,1,1,1,1
50,7,0.05,3,1033.1,1033.1,1033.1,0,0,114,156,234,1.36842,2.05263,9,9,9,0,0,0,0,1099.31,1099.31,1148.64,-0.0640972,-0.0640972,-0.111843,0,-0.0448697,77,78,83,0.675439,0.684211,0.72807,1.01299,1.07792,15,15,13,0,3,0,3
50,8,0.05,3,2044.41,2044.41,2044.41,0,0,148,232,474,1.56757,3.2027,12,12,12,0,0,0,0,2092.28,2080.38,2085.19,-0.023413,-0.0175936,-0.0199453,0.00568626,0.00338844,31,100,99,0.209459,0.675676,0.668919,3.22581,3.19355,13,13,15,1,1,1,0
50,9,0.05,3,2376.72,2374.38,2351.54,0.000986004,0.0105974,25,85,186,3.4,7.44,11,11,14,1,1,1,1,2376.72,2374.38,2351.54,0,0.000986004,0.0105974,0.000986004,0.0105974,7,27,49,0.28,1.08,1.96,3.85714,7,11,11,14,1,2,1,1
50,10,0.05,3,1266.2,1226.93,1226.93,0.0310157,0.0310157,77,208,647,2.7013,8.4026,18,18,19,3,2,4,3,1287.52,1270.98,1270.98,-0.0168378,-0.0037717,-0.0037717,0.0128497,0.0128497,17,42,49,0.220779,0.545455,0.636364,2.47059,2.88235,21,21,21,1,1,1,1
50,1,0.1,5,1726.72,1724.37,1724.37,0.00135718,0.00135718,46,134,230,2.91304,5,13,13,12,1,1,1,1,1726.72,1724.37,1724.37,0,0.00135718,0.00135718,0.00135718,0.00135718,22,64,73,0.478261,1.3913,1.58696,2.90909,3.31818,13,13,12,1,1,1,1
50,2,0.1,5,1549.74,1532.26,1485.88,0.0112812,0.0412042,92,191,425,2.07609,4.61957,16,16,17,1,3,1,2,1564.44,1542.27,1542.27,-0.00948215,0.00482338,0.00482338,0.0141712,0.0141712,18,50,66,0.195652,0.543478,0.717391,2.77778,3.66667,15,15,15,3,4,3,3
50,3,0.1,5,1811.42,1811.42,1811.42,0,0,53,108,193,2.03774,3.64151,9,9,9,0,0,0,0,1782.03,1782.03,1809.44,0.0162222,0.0162222,0.00109026,0,-0.0153815,33,46,60,0.622642,0.867925,1.13208,1.39394,1.81818,15,15,14,0,2,0,1
50,4,0.1,5,1364.03,1361.68,1361.68,0.00171804,0.00171804,89,201,612,2.25843,6.8764,18,18,18,1,1,1,1,1375.75,1373.41,1373.41,-0.00859592,-0.00687787,-0.00687787,0.0017034,0.0017034,22,47,56,0.247191,0.52809,0.629213,2.13636,2.54545,17,17,17,1,1,1,1
50,5,0.1,5,1909.15,1908.39,1908.39,0.000397951,0.000397951,89,186,356,2.08989,4,21,21,20,1,1,1,2,1934.41,1933.65,1933.65,-0.0132301,-0.0128322,-0.0128322,0.000392755,0.000392755,25,44,46,0.280899,0.494382,0.516854,1.76,1.84,20,20,19,1,1,1,2
50,6,0.1,5,1469.15,1469.15,1469.15,0,0,69,212,665,3.07246,9.63768,24,24,24,0,0,0,0,1461.07,1456.38,1456.38,0.00550161,0.00869182,0.00869182,0.00320786,0.00320786,7,64,62,0.101449,0.927536,0.898551,9.14286,8.85714,25,25,25,3,4,3,3
50,7,0.1,5,1510.38,1510.38,1510.38,0,0,147,247,415,1.68027,2.82313,17,17,17,0,0,0,0,1509.46,1509.46,1509.46,0.000606961,0.000606961,0.000606961,0,0,22,41,59,0.14966,0.278912,0.401361,1.86364,2.68182,19,19,19,0,0,0,0
50,8,0.1,5,1261.96,1149.43,1203.21,0.0891742,0.0465588,148,311,431,2.10135,2.91216,23,23,21,2,2,4,6,1261.96,1149.43,1240.28,0,0.0891742,0.0171836,0.0891742,0.0171836,37,145,85,0.25,0.97973,0.574324,3.91892,2.2973,25,25,24,2,4,4,5
50,9,0.1,5,1470.28,1470.28,1470.28,0,0,50,149,394,2.98,7.88,18,18,18,0,0,0,0,1470.28,1470.28,1470.28,0,0,0,0,0,6,27,31,0.12,0.54,0.62,4.5,5.16667,18,18,18,0,0,0,0
