graph_size,run,original_objective,two_phase_objective,interleaved_objective,two_phase_improvement,interleaved_improvement,original_runtime_ms,two_phase_runtime_ms,interleaved_runtime_ms,original_move_operations,two_phase_move_operations,interleaved_move_operations,two_phase_replication_operations,interleaved_replication_operations,two_phase_final_replica_count,interleaved_final_replica_count,original_firstfit_objective,two_phase_firstfit_objective,interleaved_firstfit_objective,original_firstfit_improvement,two_phase_firstfit_improvement,interleaved_firstfit_improvement,original_firstfit_runtime_ms,two_phase_firstfit_runtime_ms,interleaved_firstfit_runtime_ms,original_firstfit_move_operations,two_phase_firstfit_move_operations,interleaved_firstfit_move_operations,two_phase_firstfit_replication_operations,interleaved_firstfit_replication_operations,two_phase_firstfit_final_replica_count,interleaved_firstfit_final_replica_count
200,2,6311.41,6306.72,6300.22,0.074261,0.177385,78943,162303,315621,56,56,55,1,2,1,2,6321.73,6317.05,6317.05,-0.163553,-0.0892923,-0.0892923,10914,14587,20316,61,61,61,1,6,1,1
200,3,5074.24,5059.78,5033.93,0.284952,0.794351,27614,70197,126328,29,29,30,3,2,6,2,5139.04,5126.93,5101.08,-1.27715,-1.03839,-0.528987,6038,8997,15111,32,32,35,2,3,5,1
200,4,5450.33,5430.53,5245.04,0.36329,3.76657,14601,40291,78699,11,11,15,2,2,3,2,5450.33,5213.33,5412.72,0,4.34838,0.68999,4679,15841,25002,18,18,15,3,2,3,2
200,5,6252.11,6248.19,6219.16,0.0626959,0.526968,35826,93262,218026,27,27,29,2,1,3,1,6154.53,6127.49,6127.49,1.56077,1.99321,1.99321,7284,13800,15254,31,31,31,1,1,1,1
210,1,6747.46,6699.16,6676.77,0.715858,1.04775,37760,96270,193515,31,31,33,4,4,4,4,6829.11,6819.73,6797.34,-1.21002,-1.07109,-0.739199,9187,15267,23368,42,42,44,3,3,3,3
210,2,5796.98,5788.81,5641.66,0.140985,2.6793,78845,139408,268475,36,36,37,1,2,1,2,5889.76,5881.59,5881.59,-1.60045,-1.45946,-1.45946,12104,19907,22814,43,43,43,1,1,1,1
210,3,8049.06,8038.65,8038.65,0.129352,0.129352,69346,136774,262593,37,37,37,1,1,1,1,8237.63,8236.22,8077.95,-2.3427,-2.32522,-0.358824,17109,23094,37814,46,46,50,1,2,1,1
210,4,6331.73,6324.3,6310.46,0.117284,0.335966,26011,58917,118471,23,23,25,1,1,1,1,6331.73,6324.3,6310.46,0,0.117284,0.335966,6792,11716,15555,23,23,25,1,1,1,1
210,5,6101.79,6101.79,6101.79,0,0,33009,66474,132875,21,21,21,0,0,0,0,6120.53,6120.53,6120.53,-0.307125,-0.307125,-0.307125,4738,8982,12120,18,18,18,0,0,0,0
220,1,6211.91,6205.01,6205.01,0.111106,0.111106,87944,169974,326931,53,53,53,1,1,1,1,6205.63,6192.94,6130.33,0.101065,0.305425,1.31337,15658,19785,40249,60,60,65,2,4,2,2
220,2,5897.01,5893.63,5893.63,0.057265,0.057265,24666,56744,101478,11,11,11,1,1,1,1,5906.55,5928.34,5903.17,-0.16171,-0.53126,-0.104445,8581,10809,20174,10,10,11,1,1,1,1
220,3,7023.25,7023.25,7023.25,0,0,28921,63038,117775,23,23,23,0,0,0,0,7133.14,7133.14,7133.14,-1.56459,-1.56459,-1.56459,7276,10233,15214,32,32,32,0,1,0,0
220,4,6828.06,6827.27,6827.27,0.0115343,0.0115343,10827,31015,54597,7,7,7,1,1,3,3,6828.06,6827.27,6827.27,0,0.0115343,0.0115343,4613,11953,14693,7,7,7,1,1,3,3
220,5,7770.4,7765.71,7760.58,0.0603176,0.126387,166098,279229,537475,61,61,60,1,2,1,2,7770.83,7766.14,7760.97,-0.00552191,0.0547956,0.121376,23862,29088,32263,62,62,60,1,3,1,3
230,1,6324.95,6320.26,6314.49,0.074102,0.165352,32672,85606,173116,37,37,38,1,3,1,7,6403.63,6398.94,6398.94,-1.24394,-1.16984,-1.16984,7081,12839,16957,41,41,41,1,2,1,1
230,2,6403.02,6403.02,6403.02,0,0,37603,81901,156219,27,27,27,0,0,0,0,6403.02,6403.02,6403.02,0,0,0,7106,10937,17033,28,28,28,0,2,0,0
230,3,7245.61,7207.8,7205.46,0.521789,0.554132,175307,314062,626949,57,57,56,2,1,2,1,7285.09,7247.29,7244.94,-0.544976,-0.0231873,0.00915584,8799,16189,19089,54,54,55,2,1,2,1
230,4,6417.47,6417.47,6417.47,0,0,65072,121702,231928,32,32,32,0,0,0,0,6452.08,6449.74,6449.74,-0.539313,-0.502796,-0.502796,18842,25235,31154,35,35,35,1,2,1,1
230,5,7118.38,7112.52,7111.35,0.0824298,0.0987636,43414,98278,192202,32,32,33,3,3,3,3,7146.83,7140.96,7139.8,-0.399553,-0.317123,-0.300789,6472,13223,16440,36,36,36,3,4,3,4
240,1,7100.72,7100.72,7100.72,0,0,58098,118778,226154,33,33,33,0,0,0,0,7155.77,7155.77,7155.77,-0.775251,-0.775251,-0.775251,9096,13405,17931,36,36,36,0,0,0,0
240,2,7683.27,7683.27,7683.27,0,0,195600,335242,652811,71,71,71,0,0,0,0,7688.43,7688.43,7688.43,-0.0670999,-0.0670999,-0.0670999,17868,19745,30499,78,78,78,0,0,0,0
240,3,6603.39,6603.39,6603.39,0,0,113406,209998,413446,55,55,55,0,0,0,0,6592.32,6591.3,6582.3,0.167733,0.183211,0.319463,33402,29566,47493,72,72,73,1,6,2,1
240,4,6647.94,6647.94,6647.94,0,0,33766,87769,163614,31,31,31,0,0,0,0,6741.44,6710.19,6710.19,-1.40646,-0.936386,-0.936386,13553,17828,24916,37,37,37,1,1,1,1
240,5,7367.28,7360.66,7358.65,0.0898524,0.117125,61551,132390,246110,39,39,38,1,1,1,1,7563.05,7563.05,7563.05,-2.65732,-2.65732,-2.65732,8515,13824,19299,35,35,35,0,0,0,0
250,1,6954.74,6939.14,6939.14,0.224292,0.224292,22221,52832,97961,14,14,14,1,1,1,1,6954.74,6939.14,6939.14,0,0.224292,0.224292,4753,13564,15006,14,14,14,1,1,1,1
250,2,6935.77,6933.43,6933.43,0.033788,0.033788,149987,278359,531470,56,56,56,1,1,1,1,6950.32,6947.98,6947.98,-0.209744,-0.175956,-0.175956,11278,17804,23466,57,57,57,1,2,1,1
250,3,8711.56,8711.56,8711.56,0,0,129531,216733,428306,40,40,40,0,1,0,0,8250.11,8246.74,8246.74,5.29696,5.33572,5.33572,8413,15665,21603,48,48,49,1,2,1,1
250,4,7606.48,7606.48,7606.48,0,0,49404,121151,237218,38,38,38,0,0,0,0,7642.25,7642.25,7679.03,-0.470193,-0.470193,-0.953692,12423,16974,22533,48,48,47,0,3,0,1
250,5,7029.67,7028.35,7028.35,0.0187971,0.0187971,41346,93128,176048,23,23,23,1,1,1,1,6977.53,6976.21,6976.21,0.741695,0.760492,0.760492,7181,18024,20618,24,24,24,1,1,1,1
260,1,7615.66,7615.66,7615.66,0,0,131804,250074,479673,41,41,41,0,0,0,0,7592.3,7614.47,7399.99,0.306716,0.0156616,2.83192,39529,37690,58624,55,55,53,1,3,1,1
260,2,7139.83,7137.49,7137.49,0.0328223,0.0328223,50842,124771,234170,26,26,26,1,1,1,1,7198.86,7196.51,7196.51,-0.82665,-0.793827,-0.793827,21749,23225,31062,43,43,43,1,1,1,1
260,3,8031.62,7988.88,7956.23,0.532137,0.938683,60981,123295,242505,21,21,23,2,1,2,1,8018.1,7975.36,7944.94,0.168374,0.70051,1.07924,10757,21997,26928,22,22,26,2,2,2,2
260,4,8366.17,8318.84,8335.37,0.565798,0.368207,152760,259521,518970,49,49,51,1,1,1,1,8445.84,8423.04,8409.46,-0.952217,-0.679792,-0.517472,25538,25322,33924,57,57,56,1,2,1,1
260,5,8781.4,8768.03,8732.68,0.152188,0.554817,144516,304034,574514,68,68,73,2,2,3,2,8800.22,8786.85,8767.7,-0.214351,-0.0621628,0.155933,17952,20821,35312,72,72,75,2,4,3,2
270,1,7953.71,7875.43,7875.43,0.984212,0.984212,118793,232125,445137,51,51,51,3,3,3,3,8025.61,7947.33,7994.75,-0.903949,0.0802637,-0.515979,16702,22605,32371,52,52,53,3,4,3,3
270,2,7842.99,7842.99,7842.99,0,0,75745,148726,285604,30,30,30,0,0,0,0,7892.99,7892.99,7892.99,-0.637529,-0.637529,-0.637529,11870,15878,24171,30,30,30,0,0,0,0
270,3,6521.56,6521.56,6521.56,0,0,35787,74849,138644,14,14,14,0,0,0,0,7031.43,7031.43,7022.53,-7.81824,-7.81824,-7.68185,44349,41792,76618,39,39,38,0,5,0,0
270,4,7512.06,7506.12,7499.82,0.0789825,0.162892,55987,125053,243976,28,28,29,2,2,3,2,7446.06,7446.06,7446.06,0.87861,0.87861,0.87861,15854,19164,29815,30,30,30,0,0,0,0
270,5,8608.21,8608.21,8608.21,0,0,32499,77011,143151,18,18,18,0,0,0,0,8598.7,8596.66,8596.66,0.110532,0.13415,0.13415,13251,22693,38048,34,34,34,1,4,1,1
280,1,7403.14,7403.14,7374.42,0,0.387953,75330,154704,320058,35,35,35,0,1,0,1,7406.47,7389.8,7389.33,-0.0449865,0.180116,0.186565,8084,17833,20518,29,29,30,1,2,1,1
280,2,8523.25,8490.89,8430.43,0.379735,1.08907,440071,724757,184006932,100,100,99,6,7,12,8,8685.95,8657.59,8608.83,-1.90887,-1.57609,-1.00403,64630,49584,127034,104,104,105,7,7,12,7
280,3,10777.8,10766,10766,0.109847,0.109847,1400768,134622,244221,24,24,24,1,1,1,1,11265.6,11250.4,11250.4,-4.52621,-4.38535,-4.38535,11675,24300,29068,30,30,30,1,2,3,3
280,4,7822.04,7817.35,7809.43,0.0599194,0.161168,192156,341423,635281,53,53,54,2,1,2,1,8098.6,8090.52,8024.02,-3.53568,-3.43244,-2.58228,43749,36423,70346,73,73,77,1,2,1,1
280,5,9031.63,9022.26,9022.26,0.103789,0.103789,181088,326082,631287,59,59,59,2,2,3,3,9018.58,9006.86,8965.4,0.1445,0.274236,0.733284,34208,36041,52988,67,67,69,3,4,4,3
290,1,8345.08,8311.83,8281.78,0.398436,0.758449,107318,219784,427687,38,38,38,3,2,4,2,8717.45,8694.03,8640.21,-4.46221,-4.18153,-3.5366,18922,30520,52500,47,47,54,4,5,6,6
290,2,7323.15,7318.46,7318.46,0.0640013,0.0640013,157951,297226,572673,54,54,54,1,1,1,1,7407.03,7400,7389.39,-1.14545,-1.04945,-0.904518,14745,24014,33372,60,60,61,2,1,2,1
290,3,10446.1,10446.1,10446.1,0,0,138447,245423,459921,30,30,30,0,0,0,0,10450.5,10450.5,10450.5,-0.0420631,-0.0420631,-0.0420631,25684,26325,38409,35,35,35,0,1,0,0
290,4,7451.91,7437.57,7420.92,0.192372,0.415783,89907,197084,384754,42,42,43,1,1,2,2,7760.14,7752.86,7701.45,-4.13623,-4.03864,-3.34869,19173,27953,52399,62,62,66,3,5,4,4
290,5,7759.97,7759.97,7759.97,0,0,120704,246549,469024,51,51,51,0,0,0,0,8052.83,8039.09,8029.55,-3.77399,-3.5969,-3.47401,23235,28224,39377,61,61,62,2,2,2,1
300,1,9574.74,9556.38,9540.52,0.191805,0.357368,336009,611944,1235575,67,67,70,6,5,6,4,9629.4,9596.56,9580.71,-0.570857,-0.227916,-0.0623527,24603,32956,62966,70,70,76,4,4,4,3
300,2,11145.2,11145.2,11145.2,0,0,126466,240376,458412,43,43,43,0,0,0,0,11217.3,11217.3,11217.3,-0.646395,-0.646395,-0.646395,19584,20935,31673,44,44,44,0,2,0,0
300,3,7990.78,7990.78,7990.78,0,0,64817,128703,240282,21,21,21,0,0,0,0,8056.14,8056.14,8056.14,-0.817954,-0.817954,-0.817954,14996,21832,27443,21,21,21,0,0,0,0
300,4,10204.3,10199.6,10195.3,0.045931,0.0873883,200140,420433,801386,82,82,79,2,3,2,3,10157.9,10150.9,10150.9,0.453826,0.522723,0.522723,28743,32267,45875,86,86,86,2,2,2,2
300,5,9231.64,9201.66,9180.17,0.324696,0.557554,247713,464440,988557,74,74,76,3,3,4,3,9238.31,9196.83,9163.28,-0.0722692,0.377068,0.740474,34451,34494,70248,75,75,80,4,5,5,4
310,1,8235.64,8203.91,8235.37,0.385335,0.00328367,132671,333783,609192,66,66,63,4,3,5,10,8356.31,8335.79,8298.72,-1.46517,-1.21604,-0.76586,36424,37699,62544,74,74,78,4,5,4,5
310,2,9274.52,9272.17,9272.17,0.0252677,0.0252677,277674,482625,935481,64,64,64,1,1,1,1,9401.51,9401.51,9401.51,-1.36928,-1.36928,-1.36928,53364,35553,54667,70,70,70,0,1,0,0
310,3,8372.15,8359.03,8348.95,0.156732,0.27707,84366,196173,386387,27,27,29,3,2,3,1,8356.34,8348.95,8348.95,0.1888,0.27707,0.27707,17529,30762,37718,29,29,29,1,4,1,1
310,4,8574.96,8539.4,8524.04,0.414755,0.593831,158285,341985,650044,61,61,61,4,3,4,4,8603.76,8568.19,8543.55,-0.335847,0.0789076,0.366302,24177,32720,46330,62,62,66,4,4,4,2
310,5,8449.81,8449.81,8449.81,0,0,52164,132051,243602,30,30,30,0,0,0,0,8462.52,8462.52,8462.52,-0.150501,-0.150501,-0.150501,11809,17442,26566,33,33,33,0,0,0,0
320,1,10969.4,10969.4,10969.4,0,0,102454,198268,375640,28,28,28,0,0,0,0,10985.4,10983.1,10983.1,-0.145644,-0.124281,-0.124281,15095,29202,34483,28,28,27,1,2,1,2
320,2,9750.53,9750.53,9750.53,0,0,93935,227918,429187,41,41,41,0,0,0,0,9840.06,9840.06,9840.06,-0.918211,-0.918211,-0.918211,21502,22797,32526,46,46,46,0,0,0,0
320,3,9602.92,9602.92,9602.92,0,0,126190,255755,486777,35,35,35,0,0,0,0,9620.13,9620.13,9620.13,-0.179214,-0.179214,-0.179214,38540,29785,43790,49,49,45,0,0,0,0
320,4,9408.1,9405.76,9400.18,0.0249089,0.0841793,239456,433986,839831,55,55,56,1,1,1,1,9427.06,9424.72,9420.31,-0.201523,-0.176614,-0.129736,53937,43518,56250,55,55,56,1,1,1,1
320,5,8808.02,8808.02,8808.02,0,0,127646,274224,555464,46,46,46,0,0,0,0,8816.7,8794.95,8771.29,-0.0985681,0.148421,0.417057,22008,33076,42815,60,60,61,4,3,4,5
330,1,10935.1,10915.8,10767,0.17632,1.53783,265428,492754,1020502,75,75,80,1,1,1,1,10881.8,10870.3,10822.1,0.487709,0.592645,1.03362,18536,28587,39674,82,82,83,1,2,2,2
330,2,8437.66,8436.59,8436.59,0.0126529,0.0126529,246753,427683,827257,47,47,47,1,1,1,1,8460.95,8459.88,8467.8,-0.275993,-0.26334,-0.357201,35077,47775,54497,60,60,59,1,2,1,2
330,3,9770.45,9754.05,9706.32,0.167896,0.656352,433397,773940,1570833,74,74,78,4,3,4,3,9817.57,9805.85,9758.13,-0.482249,-0.362324,0.126133,29956,53966,100504,78,78,82,3,5,3,3
330,4,10882.1,10868.2,10868.2,0.127714,0.127714,274819,517882,1008939,73,73,73,2,2,2,2,10977.1,10972.4,10939.5,-0.872447,-0.829377,-0.526876,38778,42755,83471,85,85,88,1,1,3,1
330,5,8760.3,8747.97,8746.82,0.140833,0.153882,144566,283507,545616,35,35,36,1,1,1,1,8969.11,8948.39,8932.67,-2.38359,-2.14699,-1.96754,23605,35335,45545,45,45,44,2,3,2,3
340,1,9522.7,9512.35,9511.14,0.108662,0.121333,305014,602360,1130579,81,81,79,1,3,1,3,9558.7,9539.3,9538.85,-0.378103,-0.174422,-0.169654,30526,50936,60766,85,85,83,2,4,3,6
340,2,10873.2,10873.2,10818.7,0,0.501219,175793,369535,645674,56,56,51,0,1,0,1,11091.9,11091.9,11091.9,-2.0116,-2.0116,-2.0116,71581,46491,75118,67,67,67,0,0,0,0
340,3,10174.6,10164.4,10089.7,0.0995103,0.833846,92852,207053,491797,29,29,38,2,2,2,2,10129.4,10116.9,10049.3,0.443932,0.566474,1.23088,15783,28110,57458,40,40,47,3,4,3,3
340,4,10430.7,10430.7,10430.7,0,0,66808,143665,268258,22,22,22,0,0,0,0,10514.5,10512.1,10511,-0.803147,-0.78068,-0.76964,10348,26979,32693,28,28,29,1,1,2,2
340,5,11405.6,11405.6,11284.6,0,1.06053,181745,353692,2239730,49,49,57,0,1,0,1,11382.9,11345.7,11291.6,0.198734,0.524448,0.999146,39017,34211,163994,58,58,56,0,1,0,1
