graph_size,run,original_objective,two_phase_objective,interleaved_objective,two_phase_improvement,interleaved_improvement,original_runtime_ms,two_phase_runtime_ms,interleaved_runtime_ms,original_move_operations,two_phase_move_operations,interleaved_move_operations,two_phase_replication_operations,interleaved_replication_operations,two_phase_final_replica_count,interleaved_final_replica_count,original_firstfit_objective,two_phase_firstfit_objective,interleaved_firstfit_objective,original_firstfit_improvement,two_phase_firstfit_improvement,interleaved_firstfit_improvement,original_firstfit_runtime_ms,two_phase_firstfit_runtime_ms,interleaved_firstfit_runtime_ms,original_firstfit_move_operations,two_phase_firstfit_move_operations,interleaved_firstfit_move_operations,two_phase_firstfit_replication_operations,interleaved_firstfit_replication_operations,two_phase_firstfit_final_replica_count,interleaved_firstfit_final_replica_count
50,5,1272.46,1272.46,1272.46,0,0,7205,15365,21930,19,19,19,0,0,0,0,1367.33,1367.33,1367.33,-7.45573,-7.45573,-7.45573,2216,2908,1104,25,25,25,0,1,0,0
60,1,1063.94,1047.04,1047.04,1.58882,1.58882,1602,3937,9196,14,14,14,1,1,1,1,1063.94,1047.04,1047.04,0,1.58882,1.58882,675,1498,1651,19,19,20,1,2,1,1
60,2,1721.46,1721.46,1712.51,0,0.519435,2121,5353,10273,18,18,18,0,1,0,1,1721.46,1721.46,1721.46,0,0,0,760,1172,2011,21,21,22,0,1,0,0
60,3,2621.55,2621.55,2621.55,0,0,1831,3721,7195,14,14,14,0,0,0,0,2662.09,2662.09,2685.52,-1.54628,-1.54628,-2.44027,721,1113,1464,18,18,15,0,2,0,2
60,4,1947.26,1939.4,1920.63,0.403752,1.36752,1268,4126,7977,14,14,16,2,1,3,1,1947.26,1939.4,1933.47,0,0.403752,0.707933,444,1331,1878,14,14,17,2,2,2,1
60,5,1695.9,1695.9,1695.9,0,0,955,2813,5070,14,14,14,0,0,0,0,1685.52,1677.62,1685.52,0.612494,1.07794,0.612494,673,1366,1553,25,25,19,1,0,1,0
70,1,2007.86,2007.86,2007.86,0,0,1043,2867,5516,9,9,9,0,0,0,0,2105.87,2105.87,2105.87,-4.88141,-4.88141,-4.88141,334,1110,1639,15,15,15,0,0,0,0
70,2,2102.66,2102.58,2098.38,0.00402476,0.203473,3272,6790,15239,11,11,13,1,1,1,1,2143.73,2143.65,2140.93,-1.95313,-1.94911,-1.81997,680,2642,2719,16,16,17,1,1,1,1
70,3,2331.99,2331.99,2331.99,0,0,2337,6307,11631,14,14,14,0,0,0,0,2310.9,2310.9,2310.9,0.904391,0.904391,0.904391,907,1669,2094,16,16,16,0,0,0,0
70,4,1783.77,1783.77,1783.77,0,0,2164,7134,13346,24,24,24,0,0,0,0,1825.04,1824,1824,-2.3136,-2.25503,-2.25503,241,1366,1723,26,26,26,1,1,1,1
70,5,2747.29,2737.34,2737.34,0.362209,0.362209,5770,13292,25203,25,25,25,2,2,2,2,2747.29,2737.34,2737.34,0,0.362209,0.362209,641,1959,2240,25,25,25,2,2,2,2
80,1,4236.37,4120.61,4103.75,2.7325,3.13067,3392,10371,20460,16,16,17,1,1,1,1,4273.93,4153.48,4163.49,-0.886533,1.9566,1.72029,835,2118,3788,18,18,20,3,4,4,5
80,2,2119.66,2119.66,2119.66,0,0,2982,7774,14002,12,12,12,0,0,0,0,2150.83,2150.83,2150.83,-1.47017,-1.47017,-1.47017,969,2224,3161,14,14,14,0,0,0,0
80,3,2397.61,2397.61,2340.62,0,2.37726,3941,8482,18162,13,13,13,0,2,0,4,2410.72,2410.72,2410.72,-0.546429,-0.546429,-0.546429,717,1559,2051,12,12,12,0,0,0,0
80,4,2103.67,2103.67,2103.67,0,0,811,2640,4404,6,6,6,0,0,0,0,2181.53,2181.53,2199.11,-3.70108,-3.70108,-4.53681,1318,1706,1557,18,18,14,0,1,0,1
80,5,2547.2,2547.2,2547.2,0,0,2311,5729,10637,12,12,12,0,0,0,0,2486.8,2484.46,2484.46,2.37125,2.46325,2.46325,2063,3154,4159,15,15,14,1,1,1,1
90,1,2138.48,2138.48,2138.48,0,0,1766,4474,7483,8,8,8,0,0,0,0,2101.73,2101.73,2101.73,1.71814,1.71814,1.71814,1293,1492,2748,13,13,13,0,0,0,0
90,2,3631.98,3631.98,3631.98,0,0,2401,5925,10972,14,14,14,0,0,0,0,3631.98,3631.98,3631.98,0,0,0,710,1653,2491,14,14,14,0,0,0,0
90,3,2479.09,2474.4,2391.39,0.189058,3.53743,5702,14940,29517,39,39,39,1,2,1,2,2479.09,2474.4,2474.4,0,0.189058,0.189058,1440,2782,3791,43,43,43,1,1,1,1
90,4,2861.83,2857.73,2857.73,0.143412,0.143412,4104,10299,18859,20,20,20,1,1,1,1,2860.19,2856.08,2856.08,0.0575482,0.20096,0.20096,1490,2301,3230,27,27,27,1,1,1,1
90,5,2564.45,2510.22,2493.31,2.11456,2.77423,9093,21710,36083,25,25,27,2,2,3,3,2569.4,2546.42,2529.5,-0.192849,0.703127,1.3628,2038,4019,4896,28,28,31,1,2,1,1
100,1,3167.96,3167.96,3433.59,0,-8.38506,6191,13438,22978,13,13,11,0,3,0,8,3135,3132.6,3132.6,1.04028,1.11594,1.11594,2408,3875,4718,16,16,16,1,2,1,1
100,2,3080.84,3076.15,3076.15,0.152131,0.152131,14563,30231,57383,34,34,34,1,1,1,1,3043.7,3039.01,3039.01,1.20565,1.35778,1.35778,6340,7064,11271,40,40,39,1,3,1,2
100,3,2655.65,2636.09,2623.44,0.736372,1.21267,15498,29604,60822,32,32,35,3,2,3,4,2660.36,2640.8,2601.7,-0.177525,0.558846,2.03127,2305,4338,7689,33,33,36,3,3,3,2
100,4,2418.76,2418.76,2418.76,0,0,8210,19861,36723,22,22,22,0,0,0,0,2383.73,2370.62,2335.93,1.44826,1.99024,3.42437,593,2382,4120,14,14,20,1,1,1,1
100,5,2773.96,2773.96,2773.96,0,0,5558,13641,25078,15,15,15,0,0,0,0,2773.96,2773.96,2773.96,0,0,0,2453,3517,5680,16,16,16,0,1,0,1
110,1,3292.23,3287.54,3287.54,0.142363,0.142363,11235,25695,48671,31,31,31,2,2,3,3,3292.23,3287.54,3287.54,0,0.142363,0.142363,1428,3350,3985,31,31,31,2,2,3,2
110,2,3079.84,3079.84,3079.84,0,0,10493,23692,45310,27,27,27,0,0,0,0,2988.47,2985.79,3043.35,2.96667,3.05371,1.18469,3898,7048,9381,34,34,32,1,2,1,2
110,3,2738.2,2738.2,2738.2,0,0,17044,35386,68343,43,43,43,0,0,0,0,2808.78,2804.09,2804.09,-2.57738,-2.40621,-2.40621,2442,5237,16346,45,45,45,1,1,1,1
110,4,4226.67,4221.98,4221.98,0.110889,0.110889,13205,26411,49980,31,31,31,2,2,2,2,4252.72,4225.24,4225.24,-0.616355,0.0337663,0.0337663,4494,6064,7042,35,35,34,3,3,3,3
110,5,3141.04,3141.04,3141.04,0,0,15124,29759,56601,27,27,27,0,0,0,0,3419.41,3419.41,3419.41,-8.86242,-8.86242,-8.86242,2596,4261,5935,23,23,23,0,0,0,0
120,1,3302.78,3302.78,3302.78,0,0,9646,24570,45677,27,27,27,0,0,0,0,3363.47,3363.47,3363.47,-1.83755,-1.83755,-1.83755,1558,3254,4694,26,26,26,0,0,0,0
120,2,3111.55,3111.55,3121.52,0,-0.320325,9232,29116,51161,34,34,31,0,1,0,1,2953.22,2953.22,2971.83,5.08869,5.08869,4.49045,3336,5318,9524,47,47,46,0,3,0,4
120,3,2833.59,2833.59,2833.59,0,0,8918,22861,41566,24,24,24,0,0,0,0,2830.07,2825.57,2825.57,0.124186,0.283045,0.283045,1936,4939,5884,22,22,22,1,1,1,1
120,4,4166.72,4159.69,4159.69,0.168727,0.168727,12140,31055,59087,42,42,42,3,3,3,3,4166.72,4159.69,4159.69,0,0.168727,0.168727,2335,4437,6814,43,43,43,3,4,3,3
120,5,3572.69,3536.75,3546.64,1.00588,0.729145,19731,39251,73440,38,38,37,2,2,2,2,3538.38,3538.38,3572.6,0.96031,0.96031,0.0025886,4962,5329,7488,41,41,40,0,1,0,1
130,1,4668.95,4665.55,4665.55,0.0728147,0.0728147,13344,33073,63117,25,25,25,1,1,1,1,4647.13,4644.79,4644.79,0.467423,0.517615,0.517615,2636,5745,7436,28,28,28,1,1,1,1
130,2,3277.81,3253.31,3234.27,0.747329,1.32846,20522,40730,80048,29,29,31,2,1,2,0,3336.98,3322.2,3387.88,-1.80509,-1.35413,-3.35804,7972,8583,11069,30,30,28,2,4,2,2
130,3,3706.25,3706.25,3706.25,0,0,9624,24741,45910,19,19,19,0,0,0,0,3727.71,3727.71,3727.71,-0.579042,-0.579042,-0.579042,1691,4923,8718,20,20,21,0,3,0,0
130,4,2589.23,2589.23,2589.23,0,0,4858,12044,21972,14,14,14,0,0,0,0,2661.99,2658.56,2649.22,-2.81009,-2.67747,-2.31701,1043,3189,5007,16,16,19,1,1,1,1
130,5,3748.69,3746.35,3746.35,0.062514,0.062514,8396,19017,35920,13,13,13,1,1,1,1,3785.78,3785.78,3794.33,-0.989308,-0.989308,-1.21755,4693,5545,7957,16,16,15,0,1,0,0
140,1,4894.76,4892.42,4892.42,0.0478768,0.0478768,33399,67806,127660,38,38,38,1,1,1,1,4877.83,4875.49,4860.18,0.345942,0.393819,0.706601,11960,12981,20242,49,49,46,1,3,1,3
140,2,4095.56,4078.41,4050.51,0.418844,1.09997,23340,46674,99641,26,26,29,1,1,1,1,4133.83,4116.67,4085.54,-0.934236,-0.515392,0.244875,8871,11434,20580,31,31,34,1,4,1,2
140,3,5182.44,5180.1,5180.1,0.0452191,0.0452191,52898,90100,182647,46,46,46,1,1,1,1,5182.44,5180.1,5182.98,0,0.0452191,-0.0103626,6973,9198,10861,46,46,46,1,3,1,2
140,4,4228.17,4228.17,4228.17,0,0,9871,26427,49829,30,30,30,0,0,0,0,4182.19,4182.19,4182.19,1.08753,1.08753,1.08753,1653,3577,4792,33,33,33,0,1,0,0
140,5,4362.12,4355.2,4355.2,0.158482,0.158482,18469,57953,109969,50,50,50,1,1,1,1,4423.33,4416.41,4416.41,-1.40319,-1.24471,-1.24471,3428,8070,9836,53,53,53,1,3,1,1
